adm0,country,adm1,province,cases,outbreaks,cas.or.out,lon,lat,altitude,pop.tot,logpop,LC0,LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,EVI.mean,adm0_adm1,surv.qual.adm0
AGO,Angola,1,Bengo,0,1,1,13.87016873,-8.991375596,197.4808262,314700,5.497896743,0.039222194,0.000676187,0.15395432,2.85E-05,0.001938065,0.002674805,0.002875232,0.056276972,0.317089809,0.351683098,0.054078496,0.002687474,0.008833019,0,0.004527057,0,0.003454782,0.330466042,AGO_1,0.003025194
AGO,Angola,2,Benguela,0,0,0,13.91677936,-12.82178589,678.1120942,934839,5.970736822,0.041337898,0.000118781,0.003487756,0,0.011578974,4.92E-05,0.024855773,0.226351594,0.208031055,0.361250172,0.047011537,0.000297737,0.004687618,0.03135105,0.013032928,0,0.026558018,0.269352034,AGO_2,0.003025194
AGO,Angola,3,Bié,0,0,0,17.20087665,-12.32186713,1510.15602,1858314,6.269119099,0.000158312,1.94E-05,0.063049181,0,0.025503438,0.00057629,0.022574632,0.031976305,0.437775277,0.350938765,0.047686395,0.000893187,0.005245555,0.007181877,0.006094447,0,0.000326821,0.344213386,AGO_3,0.003025194
AGO,Angola,4,Cabinda,0,0,0,12.3231335,-5.364568754,58.52059295,255063,5.406647463,0.026372207,0.006849672,0.35933838,0,0.010601395,0.007361274,0.013974158,0.100103756,0.138387549,0.244000814,0.062312372,0.002864039,0.01207412,0.002003819,0.002217251,0,0.01153904,0.314808915,AGO_4,0.003025194
AGO,Angola,5,Cuando Cubango,0,0,0,18.96844341,-15.83526156,1223.531221,219165,5.3407712,1.72E-06,0.000233477,0.008244021,0,0.003845269,0.000264521,0.005915506,0.017590283,0.114444267,0.787262948,0.050991191,0.000191618,0.0013555,0.004758662,0.004771872,0,0.000129155,0.295098914,AGO_5,0.003025194
AGO,Angola,6,Cuanza Norte,0,0,0,14.99325284,-8.929408824,732.4753368,608093,5.783970004,0.000823028,0,0.163457492,0,0.00725779,0.00028061,0.004024696,0.007451482,0.618761606,0.1769348,0.007301279,0.002329865,0.002335473,0,0.00901313,0,2.87E-05,0.387578265,AGO_6,0.003025194
AGO,Angola,7,Cuanza Sul,0,0,0,14.81010149,-10.97416056,1071.892545,1041826,6.017795192,0.00294079,0.000146481,0.02456247,1.07E-05,0.036949825,0.001160361,0.014187924,0.073222994,0.415119507,0.363081087,0.0352827,0.001456494,0.009062955,0.001486693,0.020003104,0,0.001325963,0.366128624,AGO_7,0.003025194
AGO,Angola,8,Cunene,0,0,0,15.54105482,-16.61595299,1137.017948,369730,5.567884691,0.002446075,4.18E-06,4.53E-05,0,0.001411397,6.32E-05,0.000699016,0.04420331,0.050556692,0.838444041,0.060795663,1.92E-05,0.000919922,0,0.000171793,0,0.000220176,0.235751281,AGO_8,0.003025194
AGO,Angola,9,Huambo,0,0,0,15.77650735,-12.51613592,1615.545913,2527182,6.40263652,0.003061535,9.44E-05,0.004370357,0,0.018185565,0.000238636,0.01328487,0.029756252,0.302892612,0.559101908,0.054985601,0.000223597,0.001682161,0.007660931,0.003771371,0,0.000690273,0.315317722,AGO_9,0.003025194
AGO,Angola,10,Huíla,0,0,0,14.5545242,-14.72580067,1496.468299,1406161,6.148035049,0.000878741,1.77E-05,0.00054691,0,0.005553939,8.00E-06,0.016057218,0.037930682,0.111207631,0.621316515,0.083868256,0.000209536,0.005682778,0.112595372,0.00244448,0,0.001682255,0.284883457,AGO_10,0.003025194
AGO,Angola,11,Luanda,0,1,1,13.29102927,-8.840900811,16.63853597,1888921,6.276213795,0.081826096,4.68E-06,0.000414278,0,4.88E-05,7.54E-06,4.68E-06,0.336639737,0.015169099,0.048474568,0.02513377,4.47E-05,0.00021127,0.409503598,2.32E-05,0,0.082494041,0.137728758,AGO_11,0.003025194
AGO,Angola,12,Lunda Norte,0,0,0,19.69281741,-8.510624282,888.8457108,517042,5.713525823,2.62E-05,0.000561053,0.075299892,0,0.052557709,0.003640113,0.01338701,0.021191763,0.710822518,0.071487206,0.043105327,0.006154193,0.000246825,0,0.00020732,0,0.001312872,0.378425118,AGO_12,0.003025194
AGO,Angola,13,Lunda Sul,0,0,0,20.49939173,-10.08955831,1113.456462,250218,5.398318548,0,0.000215688,0.065009735,0,0.037059141,0.000429583,0.012450207,0.054823714,0.559684656,0.146244671,0.102763442,0.000520726,0.001242024,7.54E-05,0.000484076,0,0.018996948,0.357564618,AGO_13,0.003025194
AGO,Angola,14,Malanje,0,0,0,16.66065432,-9.357119302,1006.059428,1496797,6.175162904,0.002292003,0.000479777,0.047874338,0.000205771,0.05024059,0.001016448,0.015818573,0.008799084,0.709394375,0.11739657,0.037620454,0.005845633,0.000420116,0,0.001393467,0,0.001202713,0.378879485,AGO_14,0.003025194
